Title,Price,Rating,Colors,Size,Gender,timestamp
T-shirt 2,1634400.0,3.9,3,M,Women,2025-05-18T09:56:17.831634
Hoodie 3,7950080.0,4.8,3,L,Unisex,2025-05-18T09:56:17.831634
Pants 4,7476960.0,3.3,3,XL,Men,2025-05-18T09:56:17.831634
Outerwear 5,5145440.0,3.5,3,XXL,Women,2025-05-18T09:56:17.831634
Jacket 6,2453920.0,3.3,3,S,Unisex,2025-05-18T09:56:17.831634
Crewneck 7,6892000.0,4.3,3,M,Men,2025-05-18T09:56:17.831634
T-shirt 8,7802560.0,3.1,3,L,Women,2025-05-18T09:56:17.831634
Hoodie 9,3972160.0,3.2,3,XL,Unisex,2025-05-18T09:56:17.831634
Pants 10,3100160.0,4.2,3,XXL,Men,2025-05-18T09:56:17.831634
Jacket 12,8527840.0,3.9,3,M,Unisex,2025-05-18T09:56:17.831634
Crewneck 13,5447200.0,3.2,3,L,Men,2025-05-18T09:56:17.831634
T-shirt 14,3248800.0,3.8,3,XL,Women,2025-05-18T09:56:17.831634
Hoodie 15,2184160.0,3.6,3,XXL,Unisex,2025-05-18T09:56:17.831634
Outerwear 17,841600.0,3.8,3,M,Women,2025-05-18T09:56:17.831634
Jacket 18,5500000.0,3.8,3,L,Unisex,2025-05-18T09:56:17.831634
Crewneck 19,1308960.0,3.6,3,XL,Men,2025-05-18T09:56:17.831634
T-shirt 20,1325600.0,3.4,3,XXL,Women,2025-05-18T09:56:17.831634
T-shirt 2,1634400.0,3.9,3,M,Women,2025-05-18T09:56:18.057538
Hoodie 3,7950080.0,4.8,3,L,Unisex,2025-05-18T09:56:18.057538
Pants 4,7476960.0,3.3,3,XL,Men,2025-05-18T09:56:18.057538
Outerwear 5,5145440.0,3.5,3,XXL,Women,2025-05-18T09:56:18.057538
Jacket 6,2453920.0,3.3,3,S,Unisex,2025-05-18T09:56:18.057538
Crewneck 7,6892000.0,4.3,3,M,Men,2025-05-18T09:56:18.057538
T-shirt 8,7802560.0,3.1,3,L,Women,2025-05-18T09:56:18.057538
Hoodie 9,3972160.0,3.2,3,XL,Unisex,2025-05-18T09:56:18.057538
Pants 10,3100160.0,4.2,3,XXL,Men,2025-05-18T09:56:18.057538
Jacket 12,8527840.0,3.9,3,M,Unisex,2025-05-18T09:56:18.057538
Crewneck 13,5447200.0,3.2,3,L,Men,2025-05-18T09:56:18.057538
T-shirt 14,3248800.0,3.8,3,XL,Women,2025-05-18T09:56:18.057538
Hoodie 15,2184160.0,3.6,3,XXL,Unisex,2025-05-18T09:56:18.057538
Outerwear 17,841600.0,3.8,3,M,Women,2025-05-18T09:56:18.057538
Jacket 18,5500000.0,3.8,3,L,Unisex,2025-05-18T09:56:18.057538
Crewneck 19,1308960.0,3.6,3,XL,Men,2025-05-18T09:56:18.057538
T-shirt 20,1325600.0,3.4,3,XXL,Women,2025-05-18T09:56:18.057538
T-shirt 2,1634400.0,3.9,3,M,Women,2025-05-18T09:56:18.160900
Hoodie 3,7950080.0,4.8,3,L,Unisex,2025-05-18T09:56:18.160900
Pants 4,7476960.0,3.3,3,XL,Men,2025-05-18T09:56:18.160900
Outerwear 5,5145440.0,3.5,3,XXL,Women,2025-05-18T09:56:18.160900
Jacket 6,2453920.0,3.3,3,S,Unisex,2025-05-18T09:56:18.160900
Crewneck 7,6892000.0,4.3,3,M,Men,2025-05-18T09:56:18.160900
T-shirt 8,7802560.0,3.1,3,L,Women,2025-05-18T09:56:18.160900
Hoodie 9,3972160.0,3.2,3,XL,Unisex,2025-05-18T09:56:18.160900
Pants 10,3100160.0,4.2,3,XXL,Men,2025-05-18T09:56:18.160900
Jacket 12,8527840.0,3.9,3,M,Unisex,2025-05-18T09:56:18.160900
Crewneck 13,5447200.0,3.2,3,L,Men,2025-05-18T09:56:18.160900
T-shirt 14,3248800.0,3.8,3,XL,Women,2025-05-18T09:56:18.160900
Hoodie 15,2184160.0,3.6,3,XXL,Unisex,2025-05-18T09:56:18.160900
Outerwear 17,841600.0,3.8,3,M,Women,2025-05-18T09:56:18.160900
Jacket 18,5500000.0,3.8,3,L,Unisex,2025-05-18T09:56:18.160900
Crewneck 19,1308960.0,3.6,3,XL,Men,2025-05-18T09:56:18.160900
